estacao,lat,long,prec
351640803A,-23.305,-46.734,783.4
351640804A,-23.321,-46.762,711.8
351830501A,-23.41782,-46.03012,538
351830502A,-23.3384,-46.13111,787.22
351840401A,-22.819,-45.187,583.29
351840402A,-22.804,-45.228,41.99
351840403A,-22.7867,-45.1814,124.6
351870101G,-23.97884,-46.239214,819.6
351870107A,-23.968,-46.26,947.93
351870108A,-23.95973,-46.28419,913.69
351870109A,-24.0069,-46.27559,851.11
351870111A,-23.977,-46.222,877.08
351870112A,-23.864,-46.146,439.66
351870114A,-23.97,-46.191,700.75
351870115A,-23.93715,-46.18666,69.05
351870116A,-23.907,-46.164,821.16
351870117A,-24.024,-46.284,728.15
351870118A,-24.004,-46.299,833.57
351870119A,-23.983,-46.266,765.8
351870120A,-23.982,-46.247,796.44
351880001A,-23.456,-46.458,654.8
351880002A,-23.4421,-46.4009,797.4
351880005A,-23.406,-46.399,740.2
351880006A,-23.4,-46.443,803
351880008A,-23.423,-46.521,581.2
351905501A,-22.63395,-47.05556,720.8
351970901A,-23.6656,-47.2264,558.2
352020201A,-23.20738,-46.15531,807.8
352030102A,-24.709,-47.558,716.28
352040002A,-23.78042,-45.35774,592.5
352040004A,-23.884,-45.448,435.38
352040005A,-23.822,-45.367,660.46
352042601A,-24.737,-47.532,690.34
352050901A,-23.08602,-47.20264,143.86
352110101A,-22.43577,-47.71991,476.4
352120001A,-24.585,-48.594,582.6
352140801A,-22.57856,-47.52177,385.6
352210902A,-24.161,-46.759,451.69
352210903A,-24.168,-46.841,598.51
352210904A,-24.186,-46.789,518.08
352210905A,-24.241,-46.893,727.92
352215801A,-24.638,-48.84,425.4
352220801A,-23.721,-46.889,805.11
352220803A,-23.699,-46.851,746
352230701A,-23.588,-48.043,445.19
352230703A,-23.58935,-48.04417,607
352230704A,-23.63,-48.036,504
352230705A,-23.482,-47.957,642
352230706A,-23.704,-48.106,678.2
352230707A,-23.595,-48.317,537.2
352250502A,-23.553,-46.962,627.4
352250503A,-23.53016,-46.92795,692.4
352260401A,-22.44152,-46.83129,97.6
352265301A,-24.491,-49.226,583.2
352310702A,-23.4639,-46.3039,718.8
352310704A,-23.4372,-46.2783,0
352310705A,-23.4808,-46.3467,670.2
352310706A,-23.437,-46.308,715.2
352310707A,-23.451,-46.335,612.4
352310708A,-23.481,-46.37,621.4
352330502A,-24.29,-47.174,2.79
352340401A,-22.98472,-46.82669,270
352390901A,-23.28,-47.289,433.52
352390902A,-23.387,-47.34,476
352390903A,-23.277,-47.229,478.2
352390905A,-23.269,-47.29,402.2
352400601A,-23.214,-47.078,561.05
352400603A,-23.185,-47.105,630.8
352440201A,-23.311,-45.985,495
352460002A,-24.699,-48.003,609
352470901A,-22.7036,-46.98556,622
352490701A,-23.25436,-45.69322,426.2
352500301A,-23.55,-46.9003,751.02
352500302A,-23.528,-46.902,742.4
352520101A,-23.10009,-46.72597,539.8
352530001A,-22.294,-48.579,833
352530002A,-22.26658,-48.545497,578.6
352530003A,-22.316,-48.548,813
352550803A,-22.932,-46.169,800.58
352550804A,-22.931,-46.272,596.84
352585401A,-23.08845,-47.78094,604.6
352590401A,-23.192,-46.852,672
352590402A,-23.163,-46.896,663.4
352590403A,-23.247,-46.855,722.4
352590404A,-23.172,-46.965,784.6
352590405A,-23.143,-46.818,711.8
352620901A,-23.93,-47.07,720.8
352620902A,-23.929,-47.005,673
352640701A,-23.05236,-47.83761,713.2
352660501A,-22.571,-44.902,624.4
352670401A,-22.1875,-47.39004,601.6
352690201A,-22.619,-47.365,422.6
352690203A,-22.56,-47.451,175
352690204A,-22.536,-47.394,497.2
352690205A,-22.611,-47.412,472.2
352700901A,-22.534,-46.651,796.2
352720701A,-22.73684,-45.1237,567.8
352720702A,-22.751897,-45.092557,637.34
352720721H,-22.735031,-45.106828,612.8
352730601A,-23.09357,-46.97175,657.02
352840301A,-23.55121,-47.18601,552.04
352840302A,-23.427,-47.242,647.4
352840303A,-23.524,-47.167,401.6
352850204A,-23.37046,-46.61099,729.4
352900501A,-22.23,-49.922,502.96
352900502A,-22.25,-49.932,524.2
352900503A,-22.196,-49.929,572.2
352900504A,-22.228,-49.967,536.4
352940101G,-23.659976,-46.45184,882.6
352940103A,-23.657,-46.425,717.3
352940103G,-23.651953,-46.437139,672.6
352940104A,-23.656,-46.464,573.33
352940104G,-23.660552,-46.440634,840.6
352940105A,-23.654,-46.49,810.01
352940105G,-23.658534,-46.423761,777.8
352940106A,-23.688,-46.465,32
352940106G,-23.649337,-46.443649,759
352940107A,-23.699,-46.484,0
352940107G,-23.646938,-46.4232,768.6
352940108A,-23.687,-46.447,800.84
352940109A,-23.646,-46.454,0
352940110A,-23.648,-46.444,753.75
352990601A,-24.28939,-47.45806,590.27
352990602A,-24.28,-47.451,375.3
353060701A,-23.482764,-46.085967,639.13
353060702A,-23.48567,-46.13232,726.4
353060704A,-23.55061,-46.24632,537
353060705A,-23.57501,-46.22121,465.6
353070601A,-22.34456,-46.93068,554.4
353080501A,-22.424585,-46.947802,655.8
353090401A,-22.926747,-47.566127,723.6
353110001A,-24.128,-46.691,643.67
353110002A,-24.083,-46.717,463.15
353110003A,-24.101,-46.635,774.92
353110004A,-24.113,-46.662,753.08
353170401A,-22.9564,-45.8379,669.64
353180301A,-22.905,-47.343,568.78
353180302A,-23.012,-47.306,503.2
353180303A,-22.952,-47.31,562.4
353200901A,-22.872,-46.791,699.4
353230601A,-23.377916,-45.445904,586.6
353240501A,-23.18456,-46.40096,732.8
353340301A,-22.773,-47.292,615.6
353440101A,-23.532,-46.777,510.36
353440102A,-23.561,-46.784,809.4
353440103A,-23.507,-46.776,705.6
353440104A,-23.524,-46.811,714.4
353440105A,-23.475,-46.779,688.6
353440122H,-23.547223,-46.773881,207.2
353560601A,-23.38902,-45.66407,615
353620801A,-24.714,-47.881,490.97
353650501A,-22.736,-47.175,767.2
353680201A,-22.791333,-46.440736,328.2
353710703A,-22.72616,-46.90086,780
353710704A,-22.74153,-46.9242,759
353720601A,-24.275,-47.232,650.84
353720602A,-24.275,-47.24,77.23
353750301A,-23.07392,-47.97733,560.6
353760201A,-24.324,-47.016,343.02
353760203A,-24.268,-46.961,706.06
353780001A,-23.71786,-47.40705,564.13
353800601A,-22.93113,-45.44793,608.2
353820401A,-22.785,-46.592,698.8
353850101A,-22.612,-45.183,764.2
353860002A,-23.01,-46.367,599.18
353870901A,-22.737049,-47.647408,543.8
353980601A,-23.524,-46.347,673.4
354050701A,-23.17647,-48.12137,559
354060601A,-23.21141,-47.52234,505.8
354075401A,-22.83238,-45.25754,580.6
354100001A,-24.07856,-46.59728,901
354100002A,-23.98791,-46.40595,878.2
354100002G,-24.082475,-46.604711,946
354100004G,-24.000018,-46.404179,764.6
354165301A,-23.29928,-48.0526,571
354190101A,-22.53786,-44.77291,568.6
354210701A,-23.01328,-47.53084,543.4
354230501A,-23.28365,-45.53335,612
354260202A,-24.49,-47.842,254.6
354260203A,-24.494,-47.854,455.63
354280001A,-24.656,-49.008,533.8
354325301A,-24.096,-48.365,539.6
354330301A,-23.678,-46.351,659.58
354330301G,-23.684461,-46.416597,854.8
354330302A,-23.677,-46.39,778.76
354330303A,-23.7504,-46.439,429.9
354330304A,-23.658,-46.373,0
354330305A,-23.694,-46.398,562.58
354330306A,-23.692,-46.429,76.8
354330307A,-23.713,-46.42,624.78
354340201A,-21.225,-47.763,571
354340202A,-21.123,-47.738,595.8
354340204A,-21.264,-47.823,564.8
354340205A,-21.113,-47.795,614.8
354340206A,-21.145,-47.784,577.4
354340207A,-21.206,-47.843,698.2
354340224H,-21.190218,-47.797662,311.2
354390701A,-22.429,-47.552,655
354390703A,-22.378,-47.588,568.8
354390704A,-22.393,-47.564,605.4
354400401A,-22.84778,-47.60787,476.4
354410301G,-23.731636,-46.397504,736.6
354410302A,-23.729,-46.392,71.6
354410304A,-23.737,-46.358,677.38
354430101A,-22.89862,-45.30337,523.2
354500101A,-23.57502,-45.97222,661.4
354515901A,-22.84681,-47.67809,223.6
354520901A,-23.19986,-47.28743,583
354530801A,-23.65638,-47.5742,580.6
354580301A,-22.75722,-47.36496,542.4
354580328H,-22.756263,-47.408254,480.6
354600901A,-23.39705,-45.88567,745.6
354670201A,-22.45537,-47.52874,551.4
354700701A,-22.56722,-48.15796,421.8
354730401A,-23.417,-46.957,545.49
354730402A,-23.48705,-46.99519,654.4
354730403A,-23.479,-46.857,696.8
354730404A,-23.43198,-46.85841,725
354730405A,-23.408,-46.869,724.8
354730407A,-23.438,-46.91,675.6
354780901A,-23.659,-46.533,738.29
354780902A,-23.771,-46.463,729.39
354780903A,-23.686,-46.512,765.62
354780903G,-23.744829,-46.497286,857.2
354780904A,-23.648,-46.514,789.16
354780905A,-23.67747,-46.48747,792.88
354780905G,-23.778459,-46.298918,852.6
354780906A,-23.637,-46.516,776.77
354780906G,-23.685466,-46.48404,612
354780907A,-23.647,-46.495,618.94
354780908A,-23.629,-46.538,679.91
354780909A,-23.738,-46.499,609.15
354780910A,-23.68,-46.534,861.2
354780911A,-23.664,-46.553,0
354780912A,-23.698,-46.493,764.12
354780913A,-23.778,-46.303,590.07
354780914A,-23.683,-46.5,836.84
354780915A,-23.71,-46.507,616.92
354780916A,-23.724,-46.48,675.6
354780918A,-23.691,-46.499,603.05
354780919A,-23.636,-46.506,836.94
354800501A,-22.61,-46.926,793.4
354820301A,-22.83151,-45.66007,637.4
354850002G,-23.938947,-46.349035,822.8
354850003G,-23.939142,-46.327726,683.6
354850004G,-23.946121,-46.346574,712.4
354850005A,-23.942,-46.331,433.22
354850006A,-23.931,-46.36,809
354850006G,-23.952057,-46.354409,658.2
354850007G,-23.935317,-46.341736,755.8
354850008A,-23.981,-46.3,46.84
354850008G,-23.939934,-46.331055,739.2
354850009A,-23.891,-46.189,990.68
354850009G,-23.960236,-46.358779,719.4
354850010A,-23.967,-46.305,744.15
354850011A,-23.9304,-46.3449,824.18
354850012A,-23.947,-46.356,777.1
354850013A,-23.935,-46.341,688.06
354850014A,-23.881,-46.314,1138.4
354850015A,-23.937,-46.377,272.01
354860901A,-22.689192,-45.733925,504.6
354870801G,-23.75268,-46.532324,811.4
354870802A,-23.744,-46.612,618.77
354870803A,-23.737,-46.537,869.79
354870803G,-23.709393,-46.526037,864.8
354870804A,-23.844,-46.598,15
354870804G,-23.733104,-46.535489,889.2
354870805A,-23.72266,-46.53876,918.15
354870806A,-23.708,-46.52,477.66
354870807A,-23.705,-46.572,181.8
354870808A,-23.755,-46.531,795.88
354870809A,-23.772,-46.59,668.57
354870810A,-23.726,-46.524,884.31
354870812A,-23.721,-46.592,331.25
354870813A,-23.756,-46.578,495.49
354870814A,-23.734,-46.579,2.99
354870815A,-23.744,-46.565,768.79
354870817A,-23.716,-46.555,730.24
354870818A,-23.701,-46.534,693.24
354870820A,-23.745,-46.528,792.79
354870821A,-23.667,-46.567,668.64
354870822A,-23.717,-46.526,801.54
354880701A,-23.609,-46.573,512.72
354880703A,-23.644,-46.572,628.31
354880704A,-23.616,-46.556,305.17
354960701A,-22.647353,-44.575537,770.8
354980501A,-20.785,-49.36,605.6
354980502A,-20.818,-49.411,678.8
354980503A,-20.795,-49.41,616.6
354980504A,-20.844,-49.386,575.2
354990401A,-23.256,-45.941,558.71
354990403A,-23.14,-45.903,337.09
354990404A,-23.187,-45.869,113.14
354990405A,-23.087,-45.931,788.3
354990407A,-23.109,-45.933,398.48
354990499C,-23.158108,-45.793474,535.4
354990499H,-23.158054,-45.793503,533.6
354990499U,-23.158075,-45.793411,552.2
354995301A,-23.84764,-46.95083,740.46
354995302A,-23.88297,-46.9757,785
355000101A,-23.224308,-45.314255,571.8
355030801B,-23.547,-46.439,298.82
355030802A,-23.569,-46.411,608.57
355030803A,-23.622,-46.583,340.79
355030806B,-23.571,-46.482,191.88
355030807A,-23.816,-46.736,195.6
355030808A,-23.599,-46.65,759.87
355030809A,-23.667,-46.728,9.87
355030810A,-23.513,-46.389,586.73
355030813A,-23.457,-46.584,529.5
355030814A,-23.647,-46.744,15.6
355030817A,-23.448,-46.688,121.84
355030818A,-23.522,-46.457,276.64
355030819A,-23.603,-46.449,588.51
355030820A,-23.595,-46.406,656.22
355030820B,-23.644,-46.655,57.24
355030822A,-23.5351,-46.73533,225.44
355030826A,-23.547,-46.596,614.87
355030827B,-23.424,-46.59,118.59
355030828A,-23.668,-46.635,671.02
355030831A,-23.55196,-46.608613,758.5
355030832A,-23.622,-46.617,31.93
355030834A,-23.650398,-46.708183,630.63
355030837A,-23.602743,-46.649511,332.22
355030838A,-23.745,-46.66,323.31
355030843A,-23.436,-46.751,774.93
355030844A,-23.767,-46.68,291.31
355030845A,-23.711,-46.704,587.94
355030846A,-23.589,-46.738,816.07
355030848A,-23.5,-46.451,737.91
355030850A,-23.62034,-46.45687,367.29
355030851A,-23.48,-46.762,8.8
355030852A,-23.72,-46.702,0
355030855A,-23.462,-46.712,256.73
355030856A,-23.64412,-46.60851,654.7
355030857A,-23.541,-46.629,0
355030858A,-23.73573,-46.78054,770.7
355030859A,-23.569,-46.504,280.34
355030861A,-23.705,-46.644,233.54
355030863A,-23.674,-46.77,759.77
355030865A,-23.668,-46.674,620.07
355030867A,-23.829,-46.724,108.59
355030868A,-23.532,-46.447,660.35
355030869A,-23.584,-46.561,718.46
355030871A,-23.587,-46.602,794.92
355030872A,-23.476,-46.665,465.58
355030873A,-23.407,-46.753,733.52
355030875A,-23.622,-46.501,403.19
355030876A,-23.5,-46.473,9.4
355030878A,-23.522,-46.695,740.46
355030881A,-23.494,-46.417,735.82
355030882A,-23.647,-46.757,722.3
355030884A,-23.545,-46.401,386.2
355030886A,-23.499,-46.496,92.3
355030889A,-23.686,-46.794,794.26
355030894A,-23.623,-46.727,254.13
355030895A,-23.638,-46.78,273.91
355030896A,-23.6,-46.789,740.7
355030897A,-23.55,-46.743,258.71
355030898A,-23.47888,-46.38121,691.88
355030899A,-23.649,-46.786,689.84
355040701A,-22.5606,-47.9067,560.75
355060501A,-23.53694,-47.13303,555.12
355070402A,-23.758,-45.764,882.12
355070404A,-23.723,-45.43,452.15
355070406A,-23.776,-45.653,684.13
355070407A,-23.76,-45.418,216.37
355070409A,-23.813,-45.414,402.71
355070410A,-23.768,-45.685,650.49
355070411A,-23.759,-45.722,796.03
